"Species","Species.code","Stream","StreamCode","Water1","Water2","Mean.water","X87Sr.86Sr","Difference","Absolute.diff","Adj..difference","Sr.Ca","Length","Weight","Sex","TotalSD","StrayBool","HybridClasses3","HybridClasses2"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.730282149,-6.5013e-05,6.5e-05,0.065013,0.000165276,436,633,"Male",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.729721434,0.000495703,0.000496,0.495703,0.000152943,400,537,"Male",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.729690852,0.000526285,0.000526,0.526285,0.000169564,441,711,"Female",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.72967905,0.000538086,0.000538,0.538086,0.000184149,399,611,"Female",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.729613936,0.0006032,0.000603,0.6032,0.000163259,408,509,"Male",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.729362349,0.000854787,0.000855,0.854787,0.000164122,410,598,"Female",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.729218955,0.000998181,0.000998,0.998181,0.00017146,404,569,"Male",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.729182692,0.001034444,0.001034,1.034444,0.000164302,167,46,"Male",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.729143585,0.001073552,0.001074,1.073552,0.000198278,375,394,"Female",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.729083862,0.001133275,0.001133,1.133275,0.00020288,375,493,"Male",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.729007235,0.001209901,0.00121,1.209901,0.00017106,421,725,"Female",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.729006357,0.00121078,0.001211,1.21078,0.000205133,247,121,"Male",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.728213135,0.002004002,0.002004,2.004002,0.000148703,390,509,"Female",0.00163890329382929,0,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.727419046,0.00279809,0.002798,2.79809,0.000164486,387,464,"Male",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.727020613,0.003196524,0.003197,3.196524,0.000239447,206,79,"Male",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.726895174,0.003321963,0.003322,3.321963,0.000234145,223,91,"Male",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.726707642,0.003509495,0.003509,3.509495,0.000178497,400,535,"Female",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.726617375,0.003599762,0.0036,3.599762,0.000204036,402,554,"Male",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.726187471,0.004029666,0.00403,4.029666,0.000197882,440,607,"Male",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.726034799,0.004182338,0.004182,4.182338,0.000223408,565,1478,"Female",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.725881067,0.00433607,0.004336,4.33607,0.000160267,430,723,"Female",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.725203284,0.005013853,0.005014,5.013853,0.000185666,354,432,"Female",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.725020434,0.005196702,0.005197,5.196702,0.000244668,176,54,"Male",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.724879927,0.00533721,0.005337,5.33721,0.000231389,391,523,"Female",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.724242477,0.00597466,0.005975,5.97466,0.000186914,383,534,"Female",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Abbott","ABB",0.730197515,0.730236758,0.730217137,0.723801198,0.006415939,0.006416,6.415939,0.000208607,413,596,"Female",0.00163890329382929,1,"HHyb","HHyb"
"Hybrid",2,"Ivy","IVY",0.727495531,0.72743934,0.727467435,0.726993077,0.000474358,0.000474,0.474358,9.61e-05,419,714,"Female",0.00163914999748055,0,"HHyb","HHyb"
"Hybrid",2,"Ivy","IVY",0.727495531,0.72743934,0.727467435,0.728711981,-0.001244546,0.001245,1.244546,0.000173423,356,418,"Female",0.00163914999748055,0,"HHyb","HHyb"
"Hybrid",2,"Ivy","IVY",0.727495531,0.72743934,0.727467435,0.725647172,0.001820264,0.00182,1.820264,0.000190504,475,1014,"Male",0.00163914999748055,0,"HHyb","HHyb"
"Hybrid",2,"Ivy","IVY",0.727495531,0.72743934,0.727467435,0.725192952,0.002274483,0.002274,2.274483,0.000177161,469,989,"Male",0.00163914999748055,0,"HHyb","HHyb"
"Hybrid",2,"Ivy","IVY",0.727495531,0.72743934,0.727467435,0.724588518,0.002878917,0.002879,2.878917,0.000198638,415,610,"Male",0.00163914999748055,1,"HHyb","HHyb"
"Hybrid",2,"Ivy","IVY",0.727495531,0.72743934,0.727467435,0.724210824,0.003256611,0.003257,3.256611,0.000208237,429,723,"Male",0.00163914999748055,1,"HHyb","HHyb"
"Hybrid",2,"Ivy","IVY",0.727495531,0.72743934,0.727467435,0.723954765,0.00351267,0.003513,3.51267,0.00021313,371,413,"Male",0.00163914999748055,1,"HHyb","HHyb"
"Hybrid",2,"Ivy","IVY",0.727495531,0.72743934,0.727467435,0.723862202,0.003605234,0.003605,3.605234,0.000245729,256,159,"Male",0.00163914999748055,1,"HHyb","HHyb"
"Hybrid",2,"Ivy","IVY",0.727495531,0.72743934,0.727467435,0.723715193,0.003752243,0.003752,3.752243,0.000200295,445,649,"Female",0.00163914999748055,1,"HHyb","HHyb"
"Hybrid",2,"Ivy","IVY",0.727495531,0.72743934,0.727467435,0.723394162,0.004073273,0.004073,4.073273,0.000220285,467,1037,"Male",0.00163914999748055,1,"HHyb","HHyb"
"Hybrid",2,"Ivy","IVY",0.727495531,0.72743934,0.727467435,0.72266918,0.004798255,0.004798,4.798255,0.000212918,385,508,"Female",0.00163914999748055,1,"HHyb","HHyb"
"Hybrid",2,"Talylor's Outflow","TYO",0.73618104,0.736221293,0.736201167,0.726670009,0.009531157,0.009531,9.531157,0.000196772,447,801,"Female",0.00163891554144944,1,"HHyb","HHyb"
"Hybrid",2,"Talylor's Outflow","TYO",0.73618104,0.736221293,0.736201167,0.724892738,0.011308429,0.011308,11.308429,0.000216945,365,NA,"Female",0.00163891554144944,1,"HHyb","HHyb"
"WCT",1,"Colt's Ck","COLT",0.711435049,0.711430329,0.711432689,0.711631037,-0.000198348,0.000198,0.198348,0.000112553,191,63,"Male",0.00163867176066472,0,"WCT","WCT/LHyb"
"WCT",1,"Cyclone Ck","CYC",0.725520285,0.72556475,0.725542518,0.724343549,0.001198969,0.001199,1.198969,0.000307397,346,NA,"Female",0.00163896997169335,0,"WCT","WCT/LHyb"
"WCT",1,"Cyclone Ck","CYC",0.725520285,0.72556475,0.725542518,0.731539928,-0.00599741,0.005997,5.99741,0.000255716,230,NA,"Male",0.00163896997169335,1,"WCT","WCT/LHyb"
"WCT",1,"Moose Ck","MOO",0.728377634,0.728357449,0.728367541,0.728335893,3.1648e-05,3.2e-05,0.031648,0.000182174,401,504,"Female",0.00163873051997957,0,"WCT","WCT/LHyb"
"WCT",1,"Moose Ck","MOO",0.728377634,0.728357449,0.728367541,0.727496632,0.000870909,0.000871,0.870909,0.000192445,223,110,"Female",0.00163873051997957,0,"WCT","WCT/LHyb"
"WCT",1,"Moose Ck","MOO",0.728377634,0.728357449,0.728367541,0.727419521,0.00094802,0.000948,0.94802,0.000175856,380,421,"Female",0.00163873051997957,0,"WCT","WCT/LHyb"
"WCT",1,"Moose Ck","MOO",0.728377634,0.728357449,0.728367541,0.710227282,0.018140259,0.01814,18.140259,0.000172793,350,367,"Female",0.00163873051997957,1,"WCT","WCT/LHyb"
"WCT",1,"Moran Ck","MOR",0.728596518,0.728493825,0.728545172,0.727804674,0.000740497,0.00074,0.740497,0.000203504,345,302,"Female",0.00164027647856223,0,"WCT","WCT/LHyb"
"WCT",1,"Moran Ck","MOR",0.728596518,0.728493825,0.728545172,0.724149496,0.004395675,0.004396,4.395675,0.000183638,367,404,"Male",0.00164027647856223,1,"WCT","WCT/LHyb"
"WCT",1,"Moran Ck","MOR",0.728596518,0.728493825,0.728545172,0.733069603,-0.004524431,0.004524,4.524431,0.000156188,328,301,"Female",0.00164027647856223,1,"WCT","WCT/LHyb"
"WCT",1,"Teepee Ck","TEE",0.711923057,0.711908487,0.711915772,0.711926084,-1.0312e-05,1e-05,0.010312,0.000129433,313,242,"Male",0.00163870074829116,0,"WCT","WCT/LHyb"
"WCT",1,"Teepee Ck","TEE",0.711923057,0.711908487,0.711915772,0.711817107,9.8665e-05,9.9e-05,0.098665,0.000146212,342,398,"Male",0.00163870074829116,0,"WCT","WCT/LHyb"
"WCT",1,"Teepee Ck","TEE",0.711923057,0.711908487,0.711915772,0.711574047,0.000341725,0.000342,0.341725,0.000141003,232,98,"Male",0.00163870074829116,0,"WCT","WCT/LHyb"
"WCT",1,"Teepee Ck","TEE",0.711923057,0.711908487,0.711915772,0.711532881,0.000382891,0.000383,0.382891,0.000135734,364,349,"Female",0.00163870074829116,0,"WCT","WCT/LHyb"
"WCT",1,"Teepee Ck","TEE",0.711923057,0.711908487,0.711915772,0.712864167,-0.000948395,0.000948,0.948395,0.00013389,325,284,"Female",0.00163870074829116,0,"WCT","WCT/LHyb"
